"DailySecond" "GPIO_C" "GPIO_PY" "Humidity" "Temperature" "Pressure"
31 12138 12146 59.75 17.6 1019.41
61 12138 12147.5 59.77 17.6 1019.42
91 12138 12148.5 59.77 17.6 1019.41
121 12138 12147 59.77 17.6 1019.42
151 12139 12147 59.775 17.6 1019.43
181 12140 12148.5 59.78 17.6 1019.42
212 12142 12148.5 59.765 17.6 1019.42
242 12138 12149 59.76 17.6 1019.41
272 12137.5 12150 59.76 17.6 1019.41
302 12138 12150 59.78 17.6 1019.42
332 12138 12150 59.86 17.6 1019.42
362 12139 12150.5 59.935 17.6 1019.41
392 12140 12150.5 59.885 17.6 1019.4
423 12139 12148 59.83 17.6 1019.39
454 12139 12150 59.83 17.6 1019.37
484 12139 12151 59.86 17.6 1019.36
514 12137 12148.5 59.83 17.6 1019.34
544 12138 12149 59.82 17.6 1019.33
574 12140 12149.5 59.82 17.6 1019.32
605 12138.5 12148.5 59.79 17.6 1019.31
635 12137 12147 59.74 17.6 1019.305
665 12137.5 12149 59.73 17.6 1019.31
695 12140 12149.5 59.705 17.6 1019.32
725 12140 12149 59.695 17.6 1019.33
755 12140 12149 59.73 17.6 1019.34
785 12140 12149.5 59.77 17.6 1019.36
816 12140 12151 59.81 17.6 1019.37
846 12141 12151 59.82 17.6 1019.38
876 12142 12151.5 59.81 17.6 1019.38
906 12142 12152.5 59.81 17.6 1019.38
936 12144 12153 59.77 17.6 1019.38
966 12141.5 12154 59.75 17.6 1019.36
997 12141 12153.5 59.815 17.6 1019.35
1027 12142 12153 59.82 17.6 1019.35
1057 12142.5 12151 59.75 17.6 1019.33
1087 12138 12151 59.715 17.6 1019.33
1117 12138 12152 59.71 17.6 1019.33
1147 12139.5 12150.5 59.71 17.6 1019.32
1179 12139 12150 59.725 17.6 1019.32
1209 12139 12153 59.73 17.6 1019.31
1239 12140 12153 59.695 17.6 1019.3
1269 12140 12150 59.69 17.6 1019.3
1299 12139 12149 59.71 17.6 1019.3
1329 12141 12150.5 59.7 17.6 1019.29
1359 12142 12151 59.7 17.6 1019.285
1390 12142 12151 59.7 17.6 1019.28
1420 12142.5 12152 59.69 17.6 1019.28
1450 12141 12154.5 59.735 17.6 1019.27
1480 12141 12153.5 59.75 17.6 1019.27
1510 12142 12153 59.74 17.6 1019.27
1540 12142 12153 59.74 17.6 1019.27
1571 12141 12153.5 59.74 17.6 1019.26
1601 12143 12155 59.78 17.6 1019.24
1631 12142 12154.5 59.84 17.6 1019.23
1661 12142 12153.5 59.87 17.6 1019.23
1691 12141 12153 59.84 17.6 1019.225
1721 12140.5 12151 59.81 17.6 1019.225
1751 12142.5 12152 59.8 17.6 1019.22
1782 12143 12153.5 59.79 17.6 1019.22
1813 12143 12155.5 59.8 17.6 1019.225
1843 12142 12152 59.83 17.6 1019.23
1874 12138 12151 59.835 17.6 1019.23
1904 12137 12154 59.86 17.6 1019.23
1934 12139 12152 59.87 17.6 1019.24
1965 12142 12153 59.84 17.6 1019.23
1995 12142 12151.5 59.85 17.6 1019.23
2025 12143 12151 59.84 17.6 1019.22
2055 12143 12152 59.81 17.6 1019.2
2085 12143 12154 59.79 17.6 1019.19
2115 12143 12154.5 59.79 17.6 1019.18
2145 12144 12154 59.8 17.6 1019.18
2176 12141.5 12154 59.82 17.6 1019.19
2206 12142.5 12151.5 59.83 17.6 1019.19
2236 12143 12153 59.82 17.6 1019.18
2266 12143 12155 59.83 17.6 1019.19
2296 12144.5 12155.5 59.82 17.6 1019.2
2326 12143.5 12155 59.795 17.6 1019.22
2357 12140 12154.5 59.78 17.6 1019.23
2387 12140 12154.5 59.8 17.6 1019.26
2417 12143 12154.5 59.855 17.6 1019.28
2448 12145 12154.5 59.87 17.6 1019.295
2478 12145 12155.5 59.9 17.6 1019.31
2508 12144 12156 59.915 17.6 1019.32
2538 12143 12154 59.91 17.6 1019.33
2569 12142 12154 59.85 17.6 1019.33
2599 12142 12153 59.84 17.6 1019.33
2629 12140 12151 59.85 17.6 1019.33
2659 12139 12153 59.82 17.6 1019.33
2689 12139 12154 59.82 17.6 1019.34
2719 12142 12154.5 59.85 17.6 1019.35
2750 12142 12153 59.89 17.6 1019.365
2780 12141 12153 59.925 17.5 1019.37
2810 12139 12154 59.91 17.5 1019.38
2840 12139 12154 59.91 17.5 1019.38
2870 12139 12154 59.9 17.6 1019.38
2900 12141 12154.5 59.87 17.6 1019.38
2931 12141 12156 59.85 17.6 1019.37
2962 12140.5 12155.5 59.84 17.6 1019.35
2992 12140 12154 59.86 17.6 1019.35
3022 12141 12154 59.855 17.6 1019.34
3052 12141 12155 59.82 17.6 1019.32
3082 12142 12155 59.81 17.6 1019.3
3112 12142 12155 59.76 17.6 1019.29
3143 12140.5 12155.5 59.75 17.6 1019.29
3173 12141 12154 59.75 17.6 1019.28
3203 12141 12152 59.77 17.6 1019.27
3233 12139 12154 59.76 17.6 1019.27
3263 12138 12154 59.73 17.6 1019.26
3293 12139 12154 59.75 17.6 1019.26
3323 12141 12154.5 59.73 17.6 1019.26
3354 12141 12154 59.71 17.6 1019.26
3384 12141 12154.5 59.73 17.6 1019.25
3414 12141.5 12154 59.71 17.6 1019.23
3444 12140 12152 59.74 17.6 1019.23
3474 12142.5 12152.5 60.045 17.6 1019.21
3505 12142 12155 60.06 17.5 1019.2
3536 12140.5 12155 60.05 17.5 1019.18
3566 12142 12154.5 60.015 17.6 1019.17
3596 12143.5 12154 59.91 17.6 1019.16
