"DailySecond" "GPIO_C" "GPIO_PY" "Humidity" "Temperature" "Pressure"
31 12108.5 12102 57.6 17.9 1015.33
61 12110.5 12103 57.63 17.9 1015.33
91 12111 12103 57.655 17.9 1015.33
121 12111 12105 57.645 17.9 1015.32
151 12111 12105.5 57.64 17.9 1015.32
182 12110 12104 57.58 17.9 1015.32
212 12110 12103 57.61 17.8 1015.305
242 12111 12104.5 57.67 17.8 1015.29
273 12112.5 12106 57.715 17.8 1015.29
303 12113 12105 57.81 17.8 1015.31
333 12113 12102 57.755 17.8 1015.32
363 12113 12101 57.72 17.8 1015.33
394 12111 12103 57.73 17.8 1015.34
424 12111 12103 57.75 17.8 1015.34
454 12111 12103.5 57.76 17.8 1015.345
484 12111 12105 57.77 17.8 1015.34
514 12108 12104.5 57.775 17.8 1015.335
544 12108 12102.5 57.835 17.8 1015.33
575 12107 12102 57.81 17.8 1015.33
605 12108 12102 57.785 17.8 1015.32
635 12109 12102 57.895 17.8 1015.31
665 12109 12103.5 57.72 17.8 1015.31
695 12109 12104 57.72 17.8 1015.34
725 12111 12103 57.76 17.8 1015.34
755 12110 12102.5 57.765 17.8 1015.335
787 12110 12102 57.74 17.8 1015.32
817 12111 12103 57.78 17.8 1015.31
848 12112 12103 57.775 17.8 1015.31
878 12112 12104 57.77 17.8 1015.32
908 12110 12103 57.83 17.8 1015.33
938 12111.5 12102 57.92 17.8 1015.33
969 12112 12102 57.94 17.8 1015.34
999 12109 12102 57.89 17.8 1015.32
1029 12109 12101 57.76 17.8 1015.31
1059 12110 12101 57.74 17.8 1015.32
1089 12109 12101.5 57.7 17.8 1015.33
1119 12109 12101 57.745 17.8 1015.33
1149 12110 12100 57.825 17.8 1015.33
1180 12110 12099 57.84 17.8 1015.335
1210 12112 12099 57.86 17.8 1015.335
1240 12112 12100 57.865 17.8 1015.34
1270 12110 12102 57.8 17.8 1015.34
1300 12110.5 12103 57.815 17.8 1015.35
1330 12112 12103.5 57.87 17.8 1015.365
1361 12111.5 12105 57.76 17.8 1015.36
1391 12110 12104 57.725 17.8 1015.37
1421 12110 12105 57.79 17.8 1015.4
1451 12110 12105 57.8 17.8 1015.41
1482 12111.5 12103 57.78 17.8 1015.405
1512 12110.5 12103 57.76 17.8 1015.4
1543 12110 12103 57.785 17.8 1015.4
1573 12110 12102 57.78 17.8 1015.4
1603 12111 12104 57.755 17.8 1015.4
1633 12111 12104 57.735 17.8 1015.39
1663 12111 12104 57.68 17.8 1015.37
1693 12111 12104 57.67 17.8 1015.37
1724 12111 12101.5 57.665 17.8 1015.36
1754 12112 12102 57.685 17.8 1015.35
1784 12111 12103 57.705 17.8 1015.35
1814 12110 12102 57.7 17.8 1015.35
1844 12111 12103 57.7 17.8 1015.34
1874 12112 12103 57.715 17.8 1015.32
1905 12114 12104 57.7 17.8 1015.325
1935 12114 12104 57.765 17.8 1015.32
1965 12114 12103 57.8 17.8 1015.32
1996 12112 12102 57.75 17.8 1015.34
2026 12112 12102 57.72 17.8 1015.34
2056 12113 12102 57.755 17.8 1015.34
2087 12113 12103 57.82 17.8 1015.33
2117 12112 12102 57.81 17.8 1015.32
2147 12112 12103.5 57.855 17.8 1015.31
2177 12113 12105 57.91 17.8 1015.31
2207 12114 12104 57.895 17.8 1015.315
2237 12112 12104 57.77 17.8 1015.34
2267 12112 12103.5 57.74 17.8 1015.35
2298 12112.5 12103 57.81 17.7 1015.37
2328 12113 12107 57.87 17.7 1015.39
2358 12112 12108 57.97 17.7 1015.41
2388 12113.5 12107 57.895 17.7 1015.41
2418 12114 12109 57.87 17.7 1015.4
2448 12115 12108.5 57.875 17.7 1015.4
2479 12115 12108 57.86 17.7 1015.39
2509 12114.5 12108 57.855 17.7 1015.37
2539 12115 12109 57.85 17.7 1015.36
2569 12115 12109.5 57.81 17.7 1015.36
2599 12116 12110 57.79 17.7 1015.36
2629 12116.5 12110 57.785 17.7 1015.37
2660 12114 12110 57.77 17.7 1015.37
2691 12115 12109.5 57.84 17.7 1015.36
2721 12116 12110 57.9 17.7 1015.36
2751 12116.5 12110 57.895 17.7 1015.37
2781 12115 12109.5 57.94 17.7 1015.37
2811 12115 12110 57.935 17.7 1015.38
2841 12116 12112 57.87 17.7 1015.39
2872 12117 12111 57.89 17.7 1015.4
2902 12117 12109.5 57.88 17.7 1015.41
2932 12116 12109 57.82 17.7 1015.42
2962 12115 12109 57.815 17.7 1015.44
2992 12115 12109 57.835 17.7 1015.46
3022 12115 12107.5 57.805 17.7 1015.48
3053 12115 12108 57.8 17.7 1015.49
3083 12116 12108 57.79 17.7 1015.48
3113 12116.5 12111.5 57.76 17.7 1015.48
3143 12115 12112 57.76 17.7 1015.47
3173 12115 12109 57.91 17.7 1015.46
3203 12114 12107 57.91 17.7 1015.45
3233 12116 12108.5 57.945 17.7 1015.44
3265 12117 12109.5 57.98 17.7 1015.45
3295 12118 12109.5 57.93 17.7 1015.45
3325 12120 12110 57.885 17.7 1015.46
3355 12117.5 12109 57.955 17.7 1015.46
3385 12116.5 12107 58.105 17.7 1015.46
3415 12115.5 12106 58.135 17.7 1015.46
3447 12114.5 12109 57.99 17.7 1015.47
3477 12114 12110.5 57.975 17.7 1015.47
3507 12115 12111 58.015 17.7 1015.46
3537 12116 12113.5 58.04 17.7 1015.44
3567 12115 12112.5 58.03 17.7 1015.42
3597 12116.5 12113 57.965 17.7 1015.415
3628 12117.5 12115.5 57.93 17.7 1015.415
3658 12121 12117 57.895 17.7 1015.41
3688 12122.5 12120.5 57.915 17.7 1015.42
3718 12118 12115 58.005 17.7 1015.42
3748 12117 12112.5 58.25 17.7 1015.42
3778 12117.5 12114.5 58.315 17.7 1015.43
3809 12117 12116 58.505 17.7 1015.43
3840 12117 12113 58.465 17.7 1015.42
3870 12118.5 12114.5 58.27 17.7 1015.425
3900 12120 12116 58.28 17.7 1015.43
3930 12123 12120 58.315 17.7 1015.43
3960 12126.5 12125 58.19 17.7 1015.43
3990 12126.5 12127.5 58.24 17.7 1015.43
4021 12129 12128.5 58.22 17.7 1015.41
4051 12125 12125.5 58.18 17.7 1015.41
4081 12122 12119 58.235 17.7 1015.43
4111 12119 12116 58.26 17.7 1015.43
4141 12119 12115 58.225 17.7 1015.43
4171 12119 12117 58.26 17.7 1015.43
4202 12119 12117 58.32 17.7 1015.42
4232 12119.5 12116 58.325 17.7 1015.41
4262 12119 12114 58.255 17.7 1015.41
4292 12118 12113 58.16 17.7 1015.4
4322 12118 12112.5 58.15 17.7 1015.39
4352 12120 12114 58.15 17.7 1015.37
4382 12120 12114 58.14 17.7 1015.34
4413 12116.5 12108 58.26 17.7 1015.32
4444 12115.5 12107 58.455 17.7 1015.315
4474 12115.5 12109 58.45 17.7 1015.3
4504 12117.5 12109 58.46 17.7 1015.29
4534 12116.5 12108 58.375 17.7 1015.265
4564 12116 12107.5 58.23 17.7 1015.26
4595 12117.5 12111 58.205 17.7 1015.26
4625 12118 12109 58.19 17.7 1015.25
4655 12118 12107.5 58.13 17.7 1015.255
4685 12116 12109 58.18 17.7 1015.27
4715 12116 12111 58.145 17.7 1015.28
4745 12117 12113 58.13 17.7 1015.28
4775 12117.5 12113 58.155 17.7 1015.285
4806 12117.5 12112 58.125 17.7 1015.29
4836 12118 12112 58.195 17.7 1015.3
4866 12116 12108 58.17 17.7 1015.3
4896 12117 12109 58.12 17.7 1015.31
4926 12119.5 12113 58.12 17.6 1015.315
4957 12120 12113 58.15 17.6 1015.32
4987 12120 12111 58.185 17.6 1015.33
5017 12121.5 12113.5 58.215 17.6 1015.31
5047 12122 12119 58.23 17.6 1015.3
5077 12120 12116.5 58.18 17.6 1015.295
5107 12119 12114 58.09 17.6 1015.285
5138 12120 12114 58.145 17.6 1015.26
5168 12121 12113.5 58.16 17.6 1015.26
5198 12120.5 12112 58.13 17.6 1015.25
5228 12122 12116 58.13 17.6 1015.25
5259 12122 12118 58.12 17.6 1015.24
5289 12122 12115 58.11 17.6 1015.25
5319 12121.5 12118 58.09 17.6 1015.25
5350 12120 12117 58.04 17.6 1015.23
5380 12122.5 12119 58.045 17.6 1015.22
5410 12122 12121 58.1 17.6 1015.22
5440 12121 12116 58.125 17.6 1015.21
5470 12121 12114.5 58.11 17.6 1015.22
5500 12121 12114.5 58.09 17.6 1015.24
5531 12122 12114 58.09 17.6 1015.25
5561 12122 12114 58.12 17.6 1015.25
5591 12122 12116.5 58.13 17.6 1015.25
5621 12123 12117 58.11 17.6 1015.25
5651 12123 12114 58.08 17.6 1015.24
5681 12123 12115.5 58.08 17.6 1015.22
5712 12123 12120 58.015 17.6 1015.22
5742 12123 12121.5 58.01 17.6 1015.23
5772 12122 12120 58.01 17.6 1015.24
5802 12122 12119 58.03 17.6 1015.24
5832 12123 12119 58.12 17.6 1015.24
5862 12123 12118.5 58.09 17.6 1015.23
5893 12122 12119 58.005 17.6 1015.24
5924 12121.5 12119 57.98 17.6 1015.26
5954 12121 12119.5 57.975 17.5 1015.27
5984 12120 12119.5 57.99 17.5 1015.29
6014 12121.5 12119 58.1 17.5 1015.3
6044 12123 12119 58.16 17.5 1015.31
6074 12122 12119 58.16 17.5 1015.3
6105 12122 12120 58.11 17.5 1015.29
6135 12124 12121 58.11 17.5 1015.29
6165 12124 12121 58.08 17.5 1015.29
6195 12124 12121 58.03 17.5 1015.28
6225 12125 12120 58.03 17.6 1015.29
6255 12122 12120.5 58.075 17.6 1015.29
6286 12123 12119.5 58.055 17.6 1015.285
6316 12123 12116.5 57.99 17.5 1015.285
6346 12123 12118 58.045 17.5 1015.29
6377 12124 12119 58.05 17.5 1015.29
6407 12126 12120 58.07 17.5 1015.28
6437 12125 12119.5 58.06 17.5 1015.28
6468 12124.5 12118 58.05 17.5 1015.29
6498 12129 12124.5 58.09 17.5 1015.3
6528 12129 12123 58.105 17.5 1015.3
6558 12127 12121 58.08 17.5 1015.31
6588 12130 12126 58.065 17.5 1015.34
6618 12128.5 12124 58.05 17.6 1015.35
6649 12128 12126 57.98 17.6 1015.365
6679 12131.5 12126.5 58 17.5 1015.37
6709 12129 12126.5 58.03 17.5 1015.38
6739 12129.5 12129 58.075 17.5 1015.38
6769 12133 12130.5 58.12 17.5 1015.38
6799 12130 12129.5 58.11 17.5 1015.38
6829 12131.5 12129.5 58.055 17.5 1015.37
6860 12136 12134 58.04 17.5 1015.34
6890 12129 12127 58.07 17.5 1015.34
6920 12126.5 12123.5 58.16 17.5 1015.345
6950 12126.5 12123 58.16 17.5 1015.35
6981 12126 12123.5 58.16 17.5 1015.34
7011 12126.5 12124 58.205 17.6 1015.34
7042 12130.5 12128 58.18 17.6 1015.34
7072 12132 12129 58.105 17.6 1015.35
7102 12131 12127.5 58.06 17.6 1015.35
7132 12131 12129 58.05 17.6 1015.36
7162 12131 12129 58.095 17.5 1015.37
7192 12130 12127 58.155 17.5 1015.38
7223 12130 12125.5 58.19 17.5 1015.38
7253 12129.5 12122 58.23 17.5 1015.39
7283 12129 12120 58.22 17.6 1015.39
7313 12128 12120 58.14 17.6 1015.41
7343 12129.5 12122.5 58.095 17.6 1015.41
7373 12131 12127 58.08 17.6 1015.41
7403 12132 12129 58.09 17.6 1015.42
7434 12133.5 12131 58.19 17.5 1015.44
7464 12132 12127 58.19 17.5 1015.45
7494 12132 12125.5 58.175 17.5 1015.46
7524 12132.5 12131 58.19 17.5 1015.455
7554 12129 12127 58.2 17.5 1015.46
7584 12129 12127 58.25 17.5 1015.46
7615 12131.5 12128 58.32 17.5 1015.445
7645 12133 12128 58.44 17.6 1015.45
7675 12131.5 12124.5 58.37 17.6 1015.45
7705 12127.5 12121 58.305 17.6 1015.45
7735 12128 12121 58.33 17.6 1015.46
7766 12128 12120.5 58.375 17.6 1015.48
7796 12127 12119 58.33 17.6 1015.48
7827 12127.5 12118.5 58.355 17.6 1015.49
7857 12128 12120 58.36 17.6 1015.49
7887 12128 12121 58.41 17.6 1015.49
7917 12128 12122 58.4 17.6 1015.49
7947 12128 12123 58.31 17.6 1015.5
7977 12127 12122 58.37 17.6 1015.5
8008 12126 12121.5 58.38 17.6 1015.49
8038 12126 12121 58.36 17.6 1015.49
8068 12126 12119 58.34 17.6 1015.48
8098 12128 12120.5 58.345 17.6 1015.47
8128 12129.5 12124 58.355 17.5 1015.45
8158 12132 12127.5 58.38 17.5 1015.45
8189 12132 12128.5 58.39 17.5 1015.45
8219 12130 12124.5 58.41 17.5 1015.45
8249 12129 12122.5 58.39 17.5 1015.45
8279 12130.5 12123.5 58.39 17.5 1015.46
8309 12132 12127 58.41 17.5 1015.46
8339 12130.5 12127 58.43 17.5 1015.47
8370 12128.5 12125 58.4 17.5 1015.48
8400 12130 12124.5 58.355 17.5 1015.49
8430 12131 12125 58.44 17.5 1015.5
8460 12131 12126.5 58.46 17.5 1015.495
8490 12131 12126.5 58.45 17.5 1015.5
8521 12131 12125 58.415 17.5 1015.51
8551 12132.5 12128 58.41 17.5 1015.51
8582 12133.5 12128.5 58.41 17.6 1015.51
8612 12131 12127 58.395 17.5 1015.52
8642 12129 12124 58.38 17.5 1015.52
8672 12130.5 12125 58.43 17.5 1015.53
8702 12132 12125 58.45 17.5 1015.54
8732 12132 12125 58.425 17.5 1015.55
8763 12132 12125 58.43 17.5 1015.56
8793 12134 12126 58.46 17.5 1015.56
8823 12134 12129 58.455 17.5 1015.57
8853 12132 12130 58.44 17.5 1015.57
8883 12132 12131 58.46 17.5 1015.57
8913 12134 12129 58.485 17.5 1015.58
8943 12135 12126 58.485 17.5 1015.59
8974 12137.5 12128 58.44 17.5 1015.58
9005 12139 12131 58.43 17.5 1015.58
9035 12134 12128 58.475 17.5 1015.58
9065 12132.5 12125.5 58.54 17.5 1015.58
9095 12133 12122.5 58.55 17.5 1015.57
9125 12131 12123 58.52 17.5 1015.56
9156 12131 12123 58.53 17.5 1015.56
9186 12133 12127 58.575 17.5 1015.57
9216 12134 12128 58.605 17.5 1015.56
9246 12134 12127 58.615 17.5 1015.57
9276 12136 12127 58.61 17.5 1015.58
9307 12136.5 12128 58.59 17.5 1015.58
9338 12136 12129.5 58.58 17.5 1015.595
9368 12138 12135 58.62 17.5 1015.6
9398 12134.5 12128.5 58.65 17.5 1015.59
9428 12134 12129 58.63 17.5 1015.59
9458 12136.5 12137 58.605 17.5 1015.59
9488 12136 12135 58.63 17.5 1015.59
9518 12135 12129 58.635 17.5 1015.6
9549 12133 12128 58.635 17.5 1015.605
9579 12133 12127 58.625 17.5 1015.6
9609 12132 12123 58.58 17.5 1015.605
9639 12130.5 12124 58.57 17.5 1015.62
9669 12131 12126.5 58.555 17.5 1015.63
9699 12132 12126 58.55 17.5 1015.64
9730 12133 12126 58.535 17.5 1015.66
9760 12133 12126 58.53 17.5 1015.66
9790 12132 12125 58.545 17.5 1015.67
9820 12131.5 12125 58.575 17.5 1015.68
9850 12130 12124 58.585 17.5 1015.67
9881 12130 12123.5 58.56 17.5 1015.66
9911 12131 12124.5 58.535 17.5 1015.67
9942 12132 12123 58.535 17.5 1015.67
9972 12132 12123 58.495 17.5 1015.67
10002 12131 12123.5 58.48 17.5 1015.67
10032 12129.5 12122 58.51 17.5 1015.69
10063 12130.5 12123.5 58.53 17.5 1015.69
10093 12131.5 12127.5 58.54 17.5 1015.68
10123 12132 12128 58.595 17.5 1015.69
10153 12133 12129 58.66 17.5 1015.7
10183 12134 12129.5 58.69 17.5 1015.7
10213 12133 12130 58.715 17.5 1015.7
10243 12133 12130.5 58.69 17.5 1015.72
10274 12132 12128 58.635 17.5 1015.745
10304 12132 12126 58.64 17.5 1015.77
10334 12131.5 12124 58.68 17.5 1015.79
10364 12131 12125 58.68 17.5 1015.785
10394 12132 12124 58.61 17.5 1015.79
10424 12132.5 12123 58.61 17.5 1015.8
10455 12131 12122 58.625 17.5 1015.79
10485 12131 12122 58.64 17.5 1015.79
10515 12132 12124 58.62 17.5 1015.79
10545 12132 12125.5 58.63 17.5 1015.78
10575 12131 12124 58.685 17.5 1015.79
10605 12131 12124.5 58.66 17.5 1015.8
10636 12132 12125 58.65 17.5 1015.8
10667 12132 12124.5 58.64 17.5 1015.8
10697 12132 12123.5 58.635 17.5 1015.82
10727 12132 12125.5 58.64 17.5 1015.83
10757 12133 12126 58.63 17.5 1015.83
10787 12133.5 12125 58.635 17.5 1015.82
10818 12134 12127.5 58.675 17.5 1015.81
10848 12135 12127 58.69 17.5 1015.82
10878 12135 12125 58.67 17.5 1015.82
10908 12134 12127 58.72 17.5 1015.81
10938 12133 12129 58.785 17.5 1015.81
10968 12135 12129 58.705 17.5 1015.81
10998 12135 12127 58.7 17.5 1015.81
11029 12134 12127 58.73 17.5 1015.79
11059 12134 12125 58.78 17.5 1015.77
11089 12134.5 12126 58.73 17.5 1015.76
11119 12135 12130 58.67 17.5 1015.76
11149 12134 12129 58.69 17.5 1015.77
11179 12134 12129.5 58.745 17.5 1015.76
11210 12134 12130.5 58.78 17.5 1015.765
11240 12134 12129 58.71 17.5 1015.78
11270 12135 12129.5 58.69 17.5 1015.78
11300 12138 12134 58.69 17.5 1015.78
11330 12139.5 12136.5 58.68 17.5 1015.785
11360 12139 12136 58.67 17.5 1015.78
11392 12139 12136 58.73 17.5 1015.78
11422 12137.5 12133.5 58.875 17.5 1015.78
11452 12136 12132 58.9 17.5 1015.76
11482 12139 12135 58.81 17.5 1015.76
11512 12139 12135 58.685 17.5 1015.77
11542 12137 12130 58.815 17.5 1015.77
11572 12136 12129 58.89 17.5 1015.78
11603 12135.5 12128.5 58.925 17.5 1015.77
11633 12136 12129.5 58.85 17.5 1015.77
11663 12136.5 12131 58.79 17.5 1015.77
11693 12138 12134 58.76 17.5 1015.76
11723 12138 12132 58.81 17.5 1015.75
11753 12136 12132 58.85 17.5 1015.75
11784 12138 12136 58.82 17.5 1015.75
11814 12139 12135.5 58.81 17.5 1015.75
11844 12138 12131.5 58.815 17.5 1015.75
11874 12137 12130 58.8 17.5 1015.75
11904 12136.5 12130 58.79 17.5 1015.76
11934 12136 12128 58.795 17.5 1015.79
11965 12138 12129 58.77 17.5 1015.79
11995 12138.5 12132 58.76 17.5 1015.79
12025 12136 12130 58.715 17.5 1015.79
